model_name,tokenizer,task_name,subtask_name,score,vocab_size,length_reduction
DNABERT,5-mer non-overlap,promoter_strength,Tobacco_Z.mays,0.623,1024,4.9
DNABERT,6-mer overlap,promoter_strength,Tobacco_Z.mays,0.729,4096,1.0
DNABERT,6-mer non-overlap,promoter_strength,Tobacco_Z.mays,0.634,4096,6.0
AgroNT,6-mer non-overlap,promoter_strength,Tobacco_Z.mays,0.758,4096,6.0
AgroNT IA3,6-mer non-overlap,promoter_strength,Tobacco_Z.mays,0.684,4096,6.0
AgroNT LoRA,6-mer non-overlap,promoter_strength,Tobacco_Z.mays,0.719,4096,6.0
BERT,3-mer overlap,promoter_strength,Maize_A.thaliana,0.601,64,1.0
BERT,3-mer non-overlap,promoter_strength,Maize_A.thaliana,0.499,64,3.0
BERT,4-mer overlap,promoter_strength,Maize_A.thaliana,0.581,256,1.0
BERT,4-mer non-overlap,promoter_strength,Maize_A.thaliana,0.471,256,4.0
BERT,5-mer overlap,promoter_strength,Maize_A.thaliana,0.6,1024,1.0
BERT,5-mer non-overlap,promoter_strength,Maize_A.thaliana,0.445,1024,4.9
BERT,6-mer overlap,promoter_strength,Maize_A.thaliana,0.584,4096,1.0
BERT,6-mer non-overlap,promoter_strength,Maize_A.thaliana,0.409,4096,6.0
BERT,7-mer overlap,promoter_strength,Maize_A.thaliana,0.531,16384,1.0
BERT,7-mer non-overlap,promoter_strength,Maize_A.thaliana,0.32,16384,7.0
BERT,8-mer overlap,promoter_strength,Maize_A.thaliana,0.586,65536,1.0
BERT,8-mer non-overlap,promoter_strength,Maize_A.thaliana,0.232,65536,8.0
DNABERT,3-mer overlap,promoter_strength,Maize_A.thaliana,0.539,64,1.0
DNABERT,3-mer non-overlap,promoter_strength,Maize_A.thaliana,0.451,64,3.0
DNABERT,4-mer overlap,promoter_strength,Maize_A.thaliana,0.571,256,1.0
DNABERT,4-mer non-overlap,promoter_strength,Maize_A.thaliana,0.521,256,4.0
DNABERT,5-mer overlap,promoter_strength,Maize_A.thaliana,0.597,1024,1.0
DNABERT,5-mer non-overlap,promoter_strength,Maize_A.thaliana,0.431,1024,4.9
DNABERT,6-mer overlap,promoter_strength,Maize_A.thaliana,0.573,4096,1.0
DNABERT,6-mer non-overlap,promoter_strength,Maize_A.thaliana,0.404,4096,6.0
AgroNT,6-mer non-overlap,promoter_strength,Maize_A.thaliana,0.62,4096,6.0
AgroNT IA3,6-mer non-overlap,promoter_strength,Maize_A.thaliana,0.542,4096,6.0
AgroNT LoRA,6-mer non-overlap,promoter_strength,Maize_A.thaliana,0.585,4096,6.0
BERT,3-mer overlap,promoter_strength,Maize_S.bicolor,0.609,64,1.0
BERT,3-mer non-overlap,promoter_strength,Maize_S.bicolor,0.518,64,3.0
BERT,4-mer overlap,promoter_strength,Maize_S.bicolor,0.594,256,1.0
BERT,4-mer non-overlap,promoter_strength,Maize_S.bicolor,0.517,256,4.0
BERT,5-mer overlap,promoter_strength,Maize_S.bicolor,0.631,1024,1.0
BERT,5-mer non-overlap,promoter_strength,Maize_S.bicolor,0.581,1024,4.9
BERT,6-mer overlap,promoter_strength,Maize_S.bicolor,0.623,4096,1.0
BERT,6-mer non-overlap,promoter_strength,Maize_S.bicolor,0.481,4096,6.0
BERT,7-mer overlap,promoter_strength,Maize_S.bicolor,0.643,16384,1.0
BERT,7-mer non-overlap,promoter_strength,Maize_S.bicolor,0.388,16384,7.0
BERT,8-mer overlap,promoter_strength,Maize_S.bicolor,0.601,65536,1.0
BERT,8-mer non-overlap,promoter_strength,Maize_S.bicolor,0.445,65536,8.0
DNABERT,3-mer overlap,promoter_strength,Maize_S.bicolor,0.641,64,1.0
DNABERT,3-mer non-overlap,promoter_strength,Maize_S.bicolor,0.573,64,3.0
DNABERT,4-mer overlap,promoter_strength,Maize_S.bicolor,0.646,256,1.0
DNABERT,4-mer non-overlap,promoter_strength,Maize_S.bicolor,0.509,256,4.0
DNABERT,5-mer overlap,promoter_strength,Maize_S.bicolor,0.633,1024,1.0
DNABERT,5-mer non-overlap,promoter_strength,Maize_S.bicolor,0.562,1024,4.9
DNABERT,6-mer overlap,promoter_strength,Maize_S.bicolor,0.647,4096,1.0
DNABERT,6-mer non-overlap,promoter_strength,Maize_S.bicolor,0.549,4096,6.0
AgroNT,6-mer non-overlap,promoter_strength,Maize_S.bicolor,0.641,4096,6.0
AgroNT IA3,6-mer non-overlap,promoter_strength,Maize_S.bicolor,0.593,4096,6.0
AgroNT LoRA,6-mer non-overlap,promoter_strength,Maize_S.bicolor,0.64,4096,6.0
BERT,3-mer overlap,promoter_strength,Maize_Z.mays,0.709,64,1.0
BERT,3-mer non-overlap,promoter_strength,Maize_Z.mays,0.672,64,3.0
BERT,4-mer overlap,promoter_strength,Maize_Z.mays,0.696,256,1.0
BERT,4-mer non-overlap,promoter_strength,Maize_Z.mays,0.645,256,4.0
BERT,5-mer overlap,promoter_strength,Maize_Z.mays,0.704,1024,1.0
BERT,5-mer non-overlap,promoter_strength,Maize_Z.mays,0.638,1024,4.9
BERT,6-mer overlap,promoter_strength,Maize_Z.mays,0.713,4096,1.0
BERT,6-mer non-overlap,promoter_strength,Maize_Z.mays,0.584,4096,6.0
BERT,7-mer overlap,promoter_strength,Maize_Z.mays,0.679,16384,1.0
BERT,7-mer non-overlap,promoter_strength,Maize_Z.mays,0.55,16384,7.0
BERT,8-mer overlap,promoter_strength,Maize_Z.mays,0.697,65536,1.0
BERT,8-mer non-overlap,promoter_strength,Maize_Z.mays,0.495,65536,8.0
DNABERT,3-mer overlap,promoter_strength,Maize_Z.mays,0.662,64,1.0
DNABERT,3-mer non-overlap,promoter_strength,Maize_Z.mays,0.662,64,3.0
DNABERT,4-mer overlap,promoter_strength,Maize_Z.mays,0.682,256,1.0
DNABERT,4-mer non-overlap,promoter_strength,Maize_Z.mays,0.667,256,4.0
DNABERT,5-mer overlap,promoter_strength,Maize_Z.mays,0.696,1024,1.0
DNABERT,5-mer non-overlap,promoter_strength,Maize_Z.mays,0.617,1024,4.9
DNABERT,6-mer overlap,promoter_strength,Maize_Z.mays,0.695,4096,1.0
DNABERT,6-mer non-overlap,promoter_strength,Maize_Z.mays,0.632,4096,6.0
AgroNT,6-mer non-overlap,promoter_strength,Maize_Z.mays,0.717,4096,6.0
AgroNT IA3,6-mer non-overlap,promoter_strength,Maize_Z.mays,0.662,4096,6.0
AgroNT LoRA,6-mer non-overlap,promoter_strength,Maize_Z.mays,0.702,4096,6.0
BERT,3-mer overlap,terminator_strength,Tobacco_A.thaliana,0.667,64,1.0
BERT,3-mer non-overlap,terminator_strength,Tobacco_A.thaliana,0.594,64,3.0
BERT,4-mer overlap,terminator_strength,Tobacco_A.thaliana,0.675,256,1.0
BERT,4-mer non-overlap,terminator_strength,Tobacco_A.thaliana,0.562,256,4.0
BERT,5-mer overlap,terminator_strength,Tobacco_A.thaliana,0.68,1024,1.0
BERT,5-mer non-overlap,terminator_strength,Tobacco_A.thaliana,0.544,1024,4.9
BERT,6-mer overlap,terminator_strength,Tobacco_A.thaliana,0.676,4096,1.0
BERT,6-mer non-overlap,terminator_strength,Tobacco_A.thaliana,0.555,4096,6.0
BERT,7-mer overlap,terminator_strength,Tobacco_A.thaliana,0.64,16384,1.0
BERT,7-mer non-overlap,terminator_strength,Tobacco_A.thaliana,0.47,16384,7.0
BERT,8-mer overlap,terminator_strength,Tobacco_A.thaliana,0.534,65536,1.0
BERT,8-mer non-overlap,terminator_strength,Tobacco_A.thaliana,0.471,65536,8.0
DNABERT,3-mer overlap,terminator_strength,Tobacco_A.thaliana,0.691,64,1.0
DNABERT,3-mer non-overlap,terminator_strength,Tobacco_A.thaliana,0.619,64,3.0
DNABERT,4-mer overlap,terminator_strength,Tobacco_A.thaliana,0.707,256,1.0
DNABERT,4-mer non-overlap,terminator_strength,Tobacco_A.thaliana,0.602,256,4.0
DNABERT,5-mer overlap,terminator_strength,Tobacco_A.thaliana,0.702,1024,1.0
DNABERT,5-mer non-overlap,terminator_strength,Tobacco_A.thaliana,0.524,1024,4.9
DNABERT,6-mer overlap,terminator_strength,Tobacco_A.thaliana,0.688,4096,1.0
DNABERT,6-mer non-overlap,terminator_strength,Tobacco_A.thaliana,0.519,4096,6.0
AgroNT,6-mer non-overlap,terminator_strength,Tobacco_A.thaliana,0.687,4096,6.0
AgroNT LoRA,6-mer non-overlap,terminator_strength,Tobacco_A.thaliana,0.664,4096,6.0
AgroNT IA3,6-mer non-overlap,terminator_strength,Tobacco_A.thaliana,0.527,4096,6.0
BERT,3-mer overlap,terminator_strength,Tobacco_Z.mays,0.65,64,1.0
BERT,3-mer non-overlap,terminator_strength,Tobacco_Z.mays,0.572,64,3.0
BERT,4-mer overlap,terminator_strength,Tobacco_Z.mays,0.636,256,1.0
BERT,4-mer non-overlap,terminator_strength,Tobacco_Z.mays,0.527,256,4.0
BERT,5-mer overlap,terminator_strength,Tobacco_Z.mays,0.657,1024,1.0
BERT,5-mer non-overlap,terminator_strength,Tobacco_Z.mays,0.531,1024,4.9
BERT,6-mer overlap,terminator_strength,Tobacco_Z.mays,0.66,4096,1.0
BERT,6-mer non-overlap,terminator_strength,Tobacco_Z.mays,0.513,4096,6.0
BERT,7-mer overlap,terminator_strength,Tobacco_Z.mays,0.629,16384,1.0
BERT,7-mer non-overlap,terminator_strength,Tobacco_Z.mays,0.423,16384,7.0
BERT,8-mer overlap,terminator_strength,Tobacco_Z.mays,0.497,65536,1.0
BERT,8-mer non-overlap,terminator_strength,Tobacco_Z.mays,0.418,65536,8.0
DNABERT,3-mer overlap,terminator_strength,Tobacco_Z.mays,0.665,64,1.0
DNABERT,3-mer non-overlap,terminator_strength,Tobacco_Z.mays,0.578,64,3.0
DNABERT,4-mer overlap,terminator_strength,Tobacco_Z.mays,0.665,256,1.0
DNABERT,4-mer non-overlap,terminator_strength,Tobacco_Z.mays,0.562,256,4.0
DNABERT,5-mer overlap,terminator_strength,Tobacco_Z.mays,0.665,1024,1.0
DNABERT,5-mer non-overlap,terminator_strength,Tobacco_Z.mays,0.51,1024,4.9
DNABERT,6-mer overlap,terminator_strength,Tobacco_Z.mays,0.646,4096,1.0
DNABERT,6-mer non-overlap,terminator_strength,Tobacco_Z.mays,0.488,4096,6.0
AgroNT,6-mer non-overlap,terminator_strength,Tobacco_Z.mays,0.645,4096,6.0
AgroNT LoRA,6-mer non-overlap,terminator_strength,Tobacco_Z.mays,0.633,4096,6.0
AgroNT IA3,6-mer non-overlap,terminator_strength,Tobacco_Z.mays,0.484,4096,6.0
BERT,3-mer overlap,terminator_strength,Tobacco_GC,0.628,64,1.0
BERT,3-mer non-overlap,terminator_strength,Tobacco_GC,0.548,64,3.0
BERT,4-mer overlap,terminator_strength,Tobacco_GC,0.543,256,1.0
BERT,4-mer non-overlap,terminator_strength,Tobacco_GC,0.495,256,4.0
BERT,5-mer overlap,terminator_strength,Tobacco_GC,0.55,1024,1.0
BERT,5-mer non-overlap,terminator_strength,Tobacco_GC,0.477,1024,4.9
BERT,6-mer overlap,terminator_strength,Tobacco_GC,0.574,4096,1.0
BERT,6-mer non-overlap,terminator_strength,Tobacco_GC,0.485,4096,6.0
BERT,7-mer overlap,terminator_strength,Tobacco_GC,0.487,16384,1.0
BERT,7-mer non-overlap,terminator_strength,Tobacco_GC,0.353,16384,7.0
BERT,8-mer overlap,terminator_strength,Tobacco_GC,0.481,65536,1.0
BERT,8-mer non-overlap,terminator_strength,Tobacco_GC,0.371,65536,8.0
DNABERT,3-mer overlap,terminator_strength,Tobacco_GC,0.553,64,1.0
DNABERT,3-mer non-overlap,terminator_strength,Tobacco_GC,0.508,64,3.0
DNABERT,4-mer overlap,terminator_strength,Tobacco_GC,0.6,256,1.0
DNABERT,4-mer non-overlap,terminator_strength,Tobacco_GC,0.392,256,4.0
DNABERT,5-mer overlap,terminator_strength,Tobacco_GC,0.581,1024,1.0
DNABERT,5-mer non-overlap,terminator_strength,Tobacco_GC,0.41,1024,4.9
DNABERT,6-mer overlap,terminator_strength,Tobacco_GC,0.56,4096,1.0
DNABERT,6-mer non-overlap,terminator_strength,Tobacco_GC,0.482,4096,6.0
AgroNT,6-mer non-overlap,terminator_strength,Tobacco_GC,0.525,4096,6.0
AgroNT LoRA,6-mer non-overlap,terminator_strength,Tobacco_GC,0.519,4096,6.0
AgroNT IA3,6-mer non-overlap,terminator_strength,Tobacco_GC,0.173,4096,6.0
BERT,3-mer overlap,terminator_strength,Maize_A.thaliana,0.629,64,1.0
BERT,3-mer non-overlap,terminator_strength,Maize_A.thaliana,0.553,64,3.0
BERT,4-mer overlap,terminator_strength,Maize_A.thaliana,0.608,256,1.0
BERT,4-mer non-overlap,terminator_strength,Maize_A.thaliana,0.501,256,4.0
BERT,5-mer overlap,terminator_strength,Maize_A.thaliana,0.63,1024,1.0
BERT,5-mer non-overlap,terminator_strength,Maize_A.thaliana,0.51,1024,4.9
BERT,6-mer overlap,terminator_strength,Maize_A.thaliana,0.632,4096,1.0
BERT,6-mer non-overlap,terminator_strength,Maize_A.thaliana,0.44,4096,6.0
BERT,7-mer overlap,terminator_strength,Maize_A.thaliana,0.603,16384,1.0
BERT,7-mer non-overlap,terminator_strength,Maize_A.thaliana,0.446,16384,7.0
BERT,8-mer overlap,terminator_strength,Maize_A.thaliana,0.43,65536,1.0
BERT,8-mer non-overlap,terminator_strength,Maize_A.thaliana,0.402,65536,8.0
DNABERT,3-mer overlap,terminator_strength,Maize_A.thaliana,0.617,64,1.0
DNABERT,3-mer non-overlap,terminator_strength,Maize_A.thaliana,0.563,64,3.0
DNABERT,4-mer overlap,terminator_strength,Maize_A.thaliana,0.626,256,1.0
DNABERT,4-mer non-overlap,terminator_strength,Maize_A.thaliana,0.528,256,4.0
DNABERT,5-mer overlap,terminator_strength,Maize_A.thaliana,0.63,1024,1.0
DNABERT,5-mer non-overlap,terminator_strength,Maize_A.thaliana,0.453,1024,4.9
DNABERT,6-mer overlap,terminator_strength,Maize_A.thaliana,0.64,4096,1.0
DNABERT,6-mer non-overlap,terminator_strength,Maize_A.thaliana,0.483,4096,6.0
AgroNT,6-mer non-overlap,terminator_strength,Maize_A.thaliana,0.614,4096,6.0
AgroNT LoRA,6-mer non-overlap,terminator_strength,Maize_A.thaliana,0.604,4096,6.0
AgroNT IA3,6-mer non-overlap,terminator_strength,Maize_A.thaliana,0.491,4096,6.0
BERT,3-mer overlap,terminator_strength,Maize_Z.mays,0.619,64,1.0
BERT,3-mer non-overlap,terminator_strength,Maize_Z.mays,0.522,64,3.0
BERT,4-mer overlap,terminator_strength,Maize_Z.mays,0.593,256,1.0
BERT,4-mer non-overlap,terminator_strength,Maize_Z.mays,0.483,256,4.0
BERT,5-mer overlap,terminator_strength,Maize_Z.mays,0.625,1024,1.0
BERT,5-mer non-overlap,terminator_strength,Maize_Z.mays,0.502,1024,4.9
BERT,6-mer overlap,terminator_strength,Maize_Z.mays,0.62,4096,1.0
BERT,6-mer non-overlap,terminator_strength,Maize_Z.mays,0.422,4096,6.0
BERT,7-mer overlap,terminator_strength,Maize_Z.mays,0.587,16384,1.0
BERT,7-mer non-overlap,terminator_strength,Maize_Z.mays,0.429,16384,7.0
BERT,8-mer overlap,terminator_strength,Maize_Z.mays,0.41,65536,1.0
BERT,8-mer non-overlap,terminator_strength,Maize_Z.mays,0.38,65536,8.0
DNABERT,3-mer overlap,terminator_strength,Maize_Z.mays,0.593,64,1.0
DNABERT,3-mer non-overlap,terminator_strength,Maize_Z.mays,0.542,64,3.0
DNABERT,4-mer overlap,terminator_strength,Maize_Z.mays,0.604,256,1.0
DNABERT,4-mer non-overlap,terminator_strength,Maize_Z.mays,0.51,256,4.0
DNABERT,5-mer overlap,terminator_strength,Maize_Z.mays,0.607,1024,1.0
DNABERT,5-mer non-overlap,terminator_strength,Maize_Z.mays,0.443,1024,4.9
DNABERT,6-mer overlap,terminator_strength,Maize_Z.mays,0.613,4096,1.0
DNABERT,6-mer non-overlap,terminator_strength,Maize_Z.mays,0.445,4096,6.0
AgroNT,6-mer non-overlap,terminator_strength,Maize_Z.mays,0.581,4096,6.0
AgroNT LoRA,6-mer non-overlap,terminator_strength,Maize_Z.mays,0.576,4096,6.0
AgroNT IA3,6-mer non-overlap,terminator_strength,Maize_Z.mays,0.463,4096,6.0
BERT,3-mer overlap,terminator_strength,Maize_GC,0.616,64,1.0
BERT,3-mer non-overlap,terminator_strength,Maize_GC,0.561,64,3.0
BERT,4-mer overlap,terminator_strength,Maize_GC,0.628,256,1.0
BERT,4-mer non-overlap,terminator_strength,Maize_GC,0.505,256,4.0
BERT,5-mer overlap,terminator_strength,Maize_GC,0.595,1024,1.0
BERT,5-mer non-overlap,terminator_strength,Maize_GC,0.571,1024,4.9
BERT,6-mer overlap,terminator_strength,Maize_GC,0.637,4096,1.0
BERT,6-mer non-overlap,terminator_strength,Maize_GC,0.491,4096,6.0
BERT,7-mer overlap,terminator_strength,Maize_GC,0.615,16384,1.0
BERT,7-mer non-overlap,terminator_strength,Maize_GC,0.592,16384,7.0
BERT,8-mer overlap,terminator_strength,Maize_GC,0.541,65536,1.0
BERT,8-mer non-overlap,terminator_strength,Maize_GC,0.443,65536,8.0
DNABERT,3-mer overlap,terminator_strength,Maize_GC,0.668,64,1.0
DNABERT,3-mer non-overlap,terminator_strength,Maize_GC,0.565,64,3.0
DNABERT,4-mer overlap,terminator_strength,Maize_GC,0.624,256,1.0
DNABERT,4-mer non-overlap,terminator_strength,Maize_GC,0.571,256,4.0
DNABERT,5-mer overlap,terminator_strength,Maize_GC,0.66,1024,1.0
DNABERT,5-mer non-overlap,terminator_strength,Maize_GC,0.56,1024,4.9
DNABERT,6-mer overlap,terminator_strength,Maize_GC,0.649,4096,1.0
DNABERT,6-mer non-overlap,terminator_strength,Maize_GC,0.545,4096,6.0
AgroNT,6-mer non-overlap,terminator_strength,Maize_GC,0.556,4096,6.0
AgroNT LoRA,6-mer non-overlap,terminator_strength,Maize_GC,0.597,4096,6.0
AgroNT IA3,6-mer non-overlap,terminator_strength,Maize_GC,0.485,4096,6.0
